Th-232(n,g) ENDFB-8.0
Energy(eV) XS(b)
21.4722 17.2438
21.4775 17.8905
21.4828 18.5818
21.4880 19.3226
21.4933 20.1175
21.4985 20.9763
21.5038 21.9057
21.5090 22.9153
21.5143 24.0142
21.5191 25.1148
21.5239 26.3154
21.5288 27.6302
21.5336 29.0756
21.5384 30.6704
21.5432 32.4370
21.5480 34.4009
21.5529 36.5918
21.5577 39.0440
21.5625 41.7967
21.5649 43.2995
21.5673 44.8949
21.5697 46.5893
21.5721 48.3899
21.5745 50.3042
21.5770 52.3400
21.5794 54.5059
21.5818 56.8108
21.5842 59.2641
21.5866 61.8760
21.5890 64.6570
21.5914 67.6182
21.5947 71.9728
21.5980 76.7168
21.6013 81.8837
21.6029 84.6283
21.6046 87.4914
21.6062 90.4963
21.6079 93.6117
21.6095 96.8602
21.6111 100.247
21.6128 103.799
21.6144 107.479
21.6161 111.314
21.6177 115.308
21.6194 119.494
21.6210 123.826
21.6226 128.364
21.6243 133.058
21.6259 137.972
21.6276 143.052
21.6292 148.334
21.6309 153.824
21.6325 159.563
21.6341 165.489
21.6358 171.642
21.6374 178.028
21.6391 184.695
21.6407 191.568
21.6424 198.694
21.6440 206.079
21.6458 214.299
21.6475 222.783
21.6493 231.583
21.6510 240.708
21.6528 250.219
21.6545 260.015
21.6563 270.156
21.6580 280.648
21.6615 302.777
21.6650 326.323
21.6685 351.461
21.6720 378.082
21.6749 400.925
21.6777 424.827
21.6806 449.793
21.6834 475.732
21.6869 509.249
21.6904 544.261
21.6928 569.279
21.6953 595.024
21.7001 648.629
21.7036 689.362
21.7071 731.313
21.7119 791.086
21.7167 852.904
21.7215 916.414
21.7264 981.210
21.7360 1112.79
21.7456 1243.32
21.7553 1368.48
21.7601 1427.31
21.7649 1482.75
21.7697 1534.40
21.7746 1581.56
21.7794 1623.68
21.7842 1660.25
21.7890 1690.84
21.7938 1715.06
21.7991 1733.76
21.8043 1744.36
21.8086 1746.91
21.8103 1746.33
21.8160 1738.10
21.8216 1720.32
21.8261 1699.96
21.8305 1674.22
21.8349 1643.57
21.8392 1608.15
21.8444 1560.71
21.8496 1507.78
21.8540 1459.16
21.8583 1407.68
21.8671 1297.53
21.8758 1181.06
21.8846 1061.93
21.8981 880.135
21.9049 793.193
21.9116 710.233
21.9160 658.984
21.9204 609.905
21.9248 563.127
21.9291 518.844
21.9335 476.915
21.9379 437.478
21.9423 400.538
21.9466 366.150
21.9510 334.116
21.9554 304.454
21.9598 277.089
21.9620 264.239
21.9642 251.983
21.9663 240.196
21.9685 228.922
21.9707 218.146
21.9729 207.901
21.9751 198.077
21.9773 188.709
21.9795 179.782
21.9817 171.318
21.9838 163.225
21.9860 155.527
21.9882 148.210
21.9904 141.260
21.9926 134.660
21.9948 128.398
21.9970 122.459
21.9992 116.853
22.0014 111.516
22.0035 106.462
22.0057 101.676
22.0079 97.1668
22.0101 92.8804
22.0123 88.8262
22.0145 84.9926
22.0167 81.3846
22.0189 77.9584
22.0210 74.7205
22.0232 71.6611
22.0254 68.7706
22.0276 66.0397
22.0298 63.4599
22.0320 61.0225
22.0342 58.7300
22.0364 56.5535
22.0386 54.4967
22.0407 52.5526
22.0429 50.7229
