cell,energy low [eV],energy high [eV],nuclide,score,mean,std. dev.,energy mid [eV]
31,3.920871024832596,4.105308449093149,total,flux,0.0010689121847314467,3.860113581393306e-06,4.013089736962873
31,4.105308449093149,4.2984217933858595,total,flux,0.0011803685975568903,5.334596007204826e-06,4.201865121239504
31,4.2984217933858595,4.500619172217357,total,flux,0.0012927139354172892,5.612623320240217e-06,4.399520482801608
31,4.500619172217357,4.712327897764348,total,flux,0.001460340628669063,4.801692489805419e-06,4.606473534990853
31,4.712327897764348,4.93399538293033,total,flux,0.0015765509433363415,5.913494491646132e-06,4.8231616403473385
31,4.93399538293033,5.166090086881981,total,flux,0.0016948673008993585,6.804705680629524e-06,5.050042734906155
31,5.166090086881981,5.409102505063519,total,flux,0.0018039238776826952,5.785547232391895e-06,5.28759629597275
31,5.409102505063519,5.663546205781223,total,flux,0.0019190920428887599,6.8670505958205525e-06,5.536324355422371
31,5.663546205781223,5.9299589155488235,total,flux,0.0020494073229349622,7.917543942670124e-06,5.796752560665023
31,5.9299589155488235,6.2089036554874255,total,flux,0.002167216600455002,8.234684214629178e-06,6.0694312855181245
31,6.2089036554874255,6.5009699311815945,total,flux,0.0022721546315335336,9.90152097685102e-06,6.35493679333451
31,6.5009699311815945,6.806774978506158,total,flux,0.002412944710843681,7.084688873746958e-06,6.653872454843876
31,6.806774978506158,7.1269650680565935,total,flux,0.002529811300548402,8.764998464042932e-06,6.966870023281375
31,7.1269650680565935,7.462216870939709,total,flux,0.002633528091808021,8.324100627626352e-06,7.2945909694981514
31,7.462216870939709,7.8132388888109885,total,flux,0.002741441585349228,8.392683847329975e-06,7.637727879875349
31,7.8132388888109885,8.180772951180769,total,flux,0.003084174592156979,8.961106553827462e-06,7.997005919995878
31,8.180772951180769,8.565595783153572,total,flux,0.003331367585231694,7.025855723284041e-06,8.37318436716717
31,8.565595783153572,8.96852064691375,total,flux,0.0035163834324650296,1.0334185336385514e-05,8.76705821503366
31,8.96852064691375,9.39039906042647,total,flux,0.003694773121409046,7.94940011334084e-06,9.17945985367011
31,9.39039906042647,9.832122596986238,total,flux,0.0039129639917395735,9.28070161518492e-06,9.611260828706353
31,9.832122596986238,10.294624769416025,total,flux,0.00409480322979982,1.3349747508057435e-05,10.063373683201132
31,10.294624769416025,10.778883002898993,total,flux,0.004316183871762109,9.891928080209711e-06,10.53675388615751
31,10.778883002898993,11.285920700611948,total,flux,0.004522571556290067,1.0713910564944845e-05,11.03240185175547
31,11.285920700611948,11.816809406526113,total,flux,0.004760347930302472,1.2466804645527419e-05,11.55136505356903
31,11.816809406526113,12.372671069945815,total,flux,0.004980530485916311,1.0440700646004129e-05,12.094740238235964
31,12.372671069945815,12.954680416570856,total,flux,0.005234924802727673,1.670855119475618e-05,12.663675743258334
31,12.954680416570856,13.56406743109347,total,flux,0.005491213548215279,1.2377338591308083e-05,13.259373923832163
31,13.56406743109347,14.202119956576416,total,flux,0.005737562782282965,1.7001400180799135e-05,13.883093693834944
31,14.202119956576416,14.87018641610557,total,flux,0.006007998592489916,9.782633878605818e-06,14.536153186340993
31,14.87018641610557,15.569678662468833,total,flux,0.0062960593760925145,1.417471812616906e-05,15.219932539287202
31,15.569678662468833,16.30207496188367,total,flux,0.0065934537154293685,1.4008251835053544e-05,15.93587681217625
31,16.30207496188367,17.068923118078924,total,flux,0.006924250237789881,1.5179053976148375e-05,16.685499039981295
31,17.068923118078924,17.871843743333184,total,flux,0.0072782558774067765,1.2662004895719652e-05,17.470383430706054
31,17.871843743333184,18.71253368338246,total,flux,0.007670712769720062,1.735414783335492e-05,18.292188713357824
31,18.71253368338246,19.592769603435265,total,flux,0.007861377057333164,1.6800798021222825e-05,19.152651643408863
31,19.592769603435265,20.51441174287349,total,flux,0.008363650618278198,1.81992840925734e-05,20.05359067315438
31,20.51441174287349,21.479407846574095,total,flux,0.008922118217767944,1.9594413439933513e-05,20.99690979472379
31,21.479407846574095,22.48979728115979,total,flux,0.008899332626936552,1.9399316380077706e-05,21.984602563866943
31,22.48979728115979,23.54771534487784,total,flux,0.009650709604846645,1.4878663115180613e-05,23.018756313018816
31,23.54771534487784,24.65539778021513,total,flux,0.010858971762617074,1.6729723615634893e-05,24.101556562546484
31,24.65539778021513,25.81518549878626,total,flux,0.011761756096051417,1.5759228702361915e-05,25.235291639500694
31,25.81518549878626,27.029529528479973,total,flux,0.012250089013439049,1.9129287744946305e-05,26.422357513633116
31,27.029529528479973,28.30099619331888,total,flux,0.012955432404281576,2.0993947975233194e-05,27.665262860899425
31,28.30099619331888,29.632272536979364,total,flux,0.013876389554484128,2.2445780575575618e-05,28.966634365149122
31,29.632272536979364,31.026172001433324,total,flux,0.01460179417469155,1.944382180004279e-05,30.329222269206344
31,31.026172001433324,32.48564037271279,total,flux,0.014819684660452272,2.0732702100263603e-05,31.755906187073055
31,32.48564037271279,34.0137620063627,total,flux,0.015313935760498588,2.3897081893306127e-05,33.249701189537745
31,34.0137620063627,35.613766345738505,total,flux,0.015854037305326064,2.3342490156119975e-05,34.8137641760506
31,35.613766345738505,37.28903474692383,total,flux,0.01633965354070476,2.905668652412194e-05,36.45140054633117
31,37.28903474692383,39.043107624691736,total,flux,0.01682369540235774,2.5613631747099556e-05,38.16607118580778
31,39.043107624691736,40.87969193461129,total,flux,0.017114535003729534,2.452434350602484e-05,39.961399779651515
31,40.87969193461129,42.80266900711179,total,flux,0.017932943588314,2.3860429254489188e-05,41.84118047086154
31,42.80266900711179,44.81610275006072,total,flux,0.018498508755206054,1.984283597149529e-05,43.809385878586255
31,44.81610275006072,46.924248237190184,total,flux,0.01852139384096595,2.1531588747954856e-05,45.87017549362545
31,46.924248237190184,49.13156070052205,total,flux,0.019421473482251622,2.9421392136106686e-05,48.02790446885612
31,49.13156070052205,51.442704945796535,total,flux,0.020900041833560486,2.9830226987475305e-05,50.2871328231593
31,51.442704945796535,53.862565210800646,total,flux,0.02156603194815367,2.9165779608088314e-05,52.65263507829859
31,53.862565210800646,56.39625548743256,total,flux,0.022145110168212342,3.2241172117044025e-05,55.129410349116604
31,56.39625548743256,59.04913032931448,total,flux,0.02268520095215773,2.7307217352494186e-05,57.72269290837352
31,59.04913032931448,61.82679616779471,total,flux,0.02275831993426342,2.9009588998854985e-05,60.437963248554595
31,61.82679616779471,64.73512316025354,total,flux,0.023968565331540972,3.205275888045685e-05,63.280959664024124
31,64.73512316025354,67.78025759575225,total,flux,0.02458685611849488,3.33097792393097e-05,66.25769037800289
31,67.78025759575225,70.9686348842429,total,flux,0.023930331217963084,2.811265357450522e-05,69.37444623999758
31,70.9686348842429,74.30699315678932,total,flux,0.02619751731448593,3.2347345808916896e-05,72.63781402051612
31,74.30699315678932,77.80238750554118,total,flux,0.026800329047919007,3.2653243028575204e-05,76.05469033116525
31,77.80238750554118,81.46220489355541,total,flux,0.027458978016308436,3.098820801290281e-05,79.63229619954829
31,81.46220489355541,85.29417976597404,total,flux,0.02812233925356346,3.4214092747070564e-05,83.37819232976472
31,85.29417976597404,89.30641039555067,total,flux,0.02869299199638775,3.3851257713293595e-05,87.30029508076235
31,89.30641039555067,93.5073759970689,total,flux,0.029250397439727117,2.550167177590049e-05,91.4068931963098
31,93.5073759970689,97.90595464682157,total,flux,0.029788847108987125,3.893905486945699e-05,95.70666532194524
31,97.90595464682157,102.51144204502063,total,flux,0.029932674206926392,3.125412703869181e-05,100.2086983459211
31,102.51144204502063,107.33357116078919,total,flux,0.031246645359749164,3.740054246969539e-05,104.92250660290492
31,107.33357116078919,112.38253280125222,total,flux,0.0325752234501499,2.9898343194513983e-05,109.85805198102071
31,112.38253280125222,117.66899714819542,total,flux,0.03125862528397431,3.826535773875369e-05,115.02576497472381
31,117.66899714819542,123.20413630780656,total,flux,0.03318833970873063,3.412440194999744e-05,120.436566728001
31,123.20413630780656,128.9996479211548,total,flux,0.03491720192942924,4.1047541257943435e-05,126.10189211448068
31,128.9996479211548,135.06777988530476,total,flux,0.035592814584538376,2.2499447551876038e-05,132.0337139032298
31,135.06777988530476,141.4213562373095,total,flux,0.036172300115658494,4.315921667269507e-05,138.24456806130712
31,141.4213562373095,148.0738042557845,total,flux,0.0369813506907492,3.164943056717789e-05,144.747580246547
31,148.0738042557845,155.03918283733685,total,flux,0.038703275324888584,3.2821092699515656e-05,151.55649354656066
31,155.03918283733685,162.33221220781974,total,flux,0.03855142782653765,3.1900647074907446e-05,158.6856975225783
31,162.33221220781974,169.96830503120103,total,flux,0.031412377282750356,3.3949077253661316e-05,166.1502586195104
31,169.96830503120103,177.9635989817908,total,flux,0.038128077740558645,3.963384934658416e-05,173.9659520064959
