
========================================================================
  HCPB  |  0.1 kg/m³
========================================================================

  Total (n,gamma) rate:  A = 3.473363e-05   C = 2.307272e-05   C/A = 0.6643
  Flux mode energy:     A = 1.4000e+07 eV   C = 1.4000e+07 eV
  (n,gamma) mode energy: A = 3.6326e+01 eV   C = 6.6073e+01 eV
  Bins where C > A:  597 / 1231

   Bin      E_lo [eV]      E_hi [eV]         Rate A         Rate C          C - A        C/A
   858     3.7476e+03     3.8348e+03     3.1837e-08     3.4412e-08     2.5749e-09     1.0809
   859     3.8348e+03     3.9240e+03     5.0382e-08     5.5412e-08     5.0294e-09     1.0998
   860     3.9240e+03     4.0154e+03     3.1906e-08     3.4623e-08     2.7174e-09     1.0852
   861     4.0154e+03     4.1088e+03     3.4880e-08     3.7283e-08     2.4038e-09     1.0689
   862     4.1088e+03     4.2045e+03     3.9515e-08     4.2137e-08     2.6219e-09     1.0664
   863     4.2045e+03     4.3023e+03     2.8614e-08     3.0396e-08     1.7822e-09     1.0623
   864     4.3023e+03     4.4025e+03     4.3479e-08     4.7950e-08     4.4709e-09     1.1028
   865     4.4025e+03     4.5049e+03     2.0922e-08     2.1490e-08     5.6796e-10     1.0271
   866     4.5049e+03     4.6098e+03     3.1066e-08     3.1961e-08     8.9534e-10     1.0288
   867     4.6098e+03     4.7171e+03     4.2058e-08     4.5879e-08     3.8213e-09     1.0909
   868     4.7171e+03     4.8269e+03     4.1401e-08     4.2801e-08     1.3997e-09     1.0338
   869     4.8269e+03     4.9392e+03     4.4363e-08     4.7886e-08     3.5231e-09     1.0794
   870     4.9392e+03     5.0542e+03     3.4474e-08     3.6475e-08     2.0006e-09     1.0580
   871     5.0542e+03     5.1719e+03     3.4957e-08     4.0020e-08     5.0628e-09     1.1448
   872     5.1719e+03     5.2922e+03     3.3216e-08     3.6422e-08     3.2060e-09     1.0965
   873     5.2922e+03     5.4154e+03     2.8260e-08     2.9634e-08     1.3738e-09     1.0486
   874     5.4154e+03     5.5415e+03     4.1608e-08     4.4837e-08     3.2289e-09     1.0776
   875     5.5415e+03     5.6704e+03     3.1199e-08     3.2690e-08     1.4903e-09     1.0478
   876     5.6704e+03     5.8024e+03     4.1057e-08     4.1941e-08     8.8387e-10     1.0215
   877     5.8024e+03     5.9375e+03     4.3564e-08     4.5248e-08     1.6833e-09     1.0386
   878     5.9375e+03     6.0757e+03     4.5233e-08     4.6668e-08     1.4350e-09     1.0317
   879     6.0757e+03     6.2171e+03     4.2498e-08     4.3307e-08     8.0961e-10     1.0191
   880     6.2171e+03     6.3618e+03     3.6961e-08     4.0185e-08     3.2241e-09     1.0872
   881     6.3618e+03     6.5099e+03     3.0282e-08     3.2062e-08     1.7802e-09     1.0588
   882     6.5099e+03     6.6614e+03     2.7065e-08     3.0391e-08     3.3258e-09     1.1229
   883     6.6614e+03     6.8165e+03     3.4339e-08     3.5753e-08     1.4137e-09     1.0412
   884     6.8165e+03     6.9751e+03     4.9734e-08     5.2947e-08     3.2123e-09     1.0646
   885     6.9751e+03     7.1375e+03     3.0239e-08     3.2565e-08     2.3258e-09     1.0769
   886     7.1375e+03     7.3036e+03     3.8130e-08     4.1163e-08     3.0322e-09     1.0795
   887     7.3036e+03     7.4736e+03     3.2012e-08     3.4953e-08     2.9416e-09     1.0919
   888     7.4736e+03     7.6475e+03     2.9410e-08     3.1023e-08     1.6127e-09     1.0548
   889     7.6475e+03     7.8255e+03     3.1370e-08     3.5340e-08     3.9695e-09     1.1265
   890     7.8255e+03     8.0077e+03     2.8111e-08     2.8737e-08     6.2652e-10     1.0223
   891     8.0077e+03     8.1941e+03     2.1240e-08     2.2212e-08     9.7128e-10     1.0457
