energy_eV,"F19(n,elastic)","F19(n,absorption)","Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
36.86735,0.176757399,1.22618833e-05,0.00107563969,0,0.0353879417,0.0179234553,0,0,0.0590855441,2.16624809e-06,0.00022198993,0,0,2.62372263e-05,0.000174336015,7.30048043,0,0,4.61855987,1.99732796e-06
37.5807,0.176757215,1.21470189e-05,0.00107562278,0,0.0350449046,0.0179276269,0,0,0.0590853378,2.14543157e-06,0.000202179017,0,0,2.57095185e-05,0.000188127038,0.181795237,0,0,0.0457336928,1.51188162e-08
38.83195,0.176756921,1.19609645e-05,0.00107559321,0,0.0344485463,0.0179349519,0,0,0.0590849787,2.10924183e-06,0.000168351462,0,0,0.000109515995,0.000169687553,0.0724209501,0,0,0.00728539936,1.6540081e-09
39.76025,0.176756703,1.18229311e-05,0.00107557207,0,0.0340626912,0.0179403864,0,0,0.0590847434,2.08581662e-06,0.00026436274,0,0,0.000449016558,0.000822696792,0.0559236687,0,0,0.00352770905,7.26821663e-10
41.05066,0.1767564,1.16310538e-05,0.00107554268,0,0.0335263223,0.0179479481,0,0,0.0590844163,2.05325373e-06,0.000185779726,0,0,8.64254603e-05,0.000469087534,0.0457692945,0,0,0.00176035767,4.61208352e-10
42.28371,0.176756143,1.14641435e-05,0.0010755146,0,0.0330137955,0.0179551754,0,0,0.0590841038,2.02213829e-06,0.000229476179,0,0,0.000394692686,0.000612119755,0.0407257777,0,0,0.00108762818,4.50084379e-10
43.23712,0.176755969,1.13486237e-05,0.00107549337,0,0.0326556056,0.0179607689,0,0,0.0590838867,2.0013305e-06,0.000193031939,0,0,0.000604800322,0.000385986565,0.0381635656,0,0,0.00111226692,4.84363887e-10
44.23889,0.176755787,1.12272444e-05,0.00107547121,0,0.0322909944,0.0179666477,0,0,0.0590836661,1.98046959e-06,0.000189109519,0,0,0.000171437558,0.000619469502,0.0361705323,0,0,0.000625594145,5.34343413e-10
45.17743,0.176755617,1.11135263e-05,0.00107545045,0,0.0319493969,0.0179721554,0,0,0.0590834595,1.9609254e-06,0.000207935796,0,0,7.48434571e-05,0.000551645981,0.0347063081,0,0,0.00150032651,5.86303032e-10
46.15183,0.17675544,1.09954632e-05,0.0010754289,0,0.0315947475,0.0179778736,0,0,0.0590832449,1.94063445e-06,0.000182084641,0,0,5.83117876e-05,0.00011488117,0.0334683268,0,0,0.000425599335,6.42637732e-10
47.11344,0.176755265,1.08789498e-05,0.00107540875,0,0.0312813109,0.017983529,0,0,0.0590830332,1.92060984e-06,0.000209298954,0,0,0.000450275322,0.00105739374,0.0324389402,0,0,0.000436447359,6.99662693e-10
48.20898,0.176755066,1.07462088e-05,0.00107538595,0,0.0309289553,0.0179899736,0,0,0.059082792,1.89779627e-06,0.000194949916,0,0,0.000461728492,0.00118202307,0.0314340499,0,0,0.000316299473,7.66462321e-10
