energy_mid_eV,"Be (n,2n)","Be (n,2n) err","Be (n,n')","Be (n,n') err","Pb (n,2n)","Pb (n,2n) err","Pb (n,n')","Pb (n,n') err","Li_7.5 (n,2n)","Li_7.5 (n,2n) err","Li_7.5 (n,n')","Li_7.5 (n,n') err","Li_60 (n,2n)","Li_60 (n,2n) err","Li_60 (n,n')","Li_60 (n,n') err","Li_90 (n,2n)","Li_90 (n,2n) err","Li_90 (n,n')","Li_90 (n,n') err","U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,n')","U (n,n') err","Th (n,2n)","Th (n,2n) err",Th nu-fission,Th nu-fission err,"Th (n,n')","Th (n,n') err"
1331.4486784114379,5.495472376879872e-10,6.055214879831976e-11,0.0,0.0,6.192081551413936e-11,2.1104156091777532e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6440611635604523e-11,1.8474327370941125e-11,5.108467279916501e-10,6.146962028834091e-11,0.0,0.0,7.740101939267419e-11,2.333728542877476e-11,1.3158173296754617e-10,2.9220832854903156e-11,0.0,0.0
1344.431393852704,4.292600712212276e-10,6.193919302757059e-11,0.0,0.0,3.0661433658659094e-11,1.509664633843298e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.832679207332386e-11,1.6790424406113634e-11,5.059136553678755e-10,6.087602912993145e-11,0.0,0.0,6.898822573198296e-11,2.2047371490208326e-11,1.226457346346364e-10,3.027181892827825e-11,0.0,0.0
1357.5407014059765,4.2511485311605625e-10,5.097564712200037e-11,0.0,0.0,1.06278713279014e-10,2.8588028650169568e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3139356639507e-11,2.2256938963604508e-11,5.845329230345772e-10,6.811724260306611e-11,0.0,0.0,9.109603995344056e-11,2.4793201719346587e-11,1.06278713279014e-10,2.8588028650169568e-11,0.0,0.0
1370.7778354480627,5.337801096741193e-10,6.348308618379074e-11,0.0,0.0,8.269832685091983e-11,2.3641650156491758e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26262079960399e-11,1.9278664025819216e-11,5.262620799603994e-10,5.180066910462216e-11,0.0,0.0,5.26262079960399e-11,1.9278664025819216e-11,1.4284256456067977e-10,3.3271727090577085e-11,0.0,0.0
1384.1440423919535,4.913984238807582e-10,6.099398915948211e-11,0.0,0.0,5.2118014654019774e-11,1.9092496542467545e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.679059864317959e-11,2.5165382093465892e-11,5.43516438534778e-10,6.247694247819033e-11,0.0,0.0,5.956344531887973e-11,2.0300705617913812e-11,1.3401775196747946e-10,3.241071734533877e-11,0.0,0.0
1397.640580804187,4.2766489545471053e-10,5.852090927273723e-11,0.0,0.0,5.161472876177537e-11,1.890812681500695e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2120598040760875e-11,1.2641671669901547e-11,4.202913627744569e-10,5.7646320049889425e-11,0.0,0.0,7.373532680253624e-11,2.2232037527113517e-11,8.110885948278984e-11,2.3187256060705155e-11,0.0,0.0
1411.2687215233584,5.622793322271691e-10,5.857976167269582e-11,0.0,0.0,5.841863191970583e-11,1.9910524699404955e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.572096090966906e-11,2.1003213584563726e-11,5.695816612171322e-10,4.9319738420450007e-11,0.0,0.0,6.572096090966906e-11,2.1003213584563726e-11,8.762794787955876e-11,2.384930661245757e-11,0.0,0.0
1425.0297477797799,4.700678378125972e-10,5.848567008276868e-11,0.0,0.0,5.7854503115396537e-11,1.9718255553025694e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7854503115396537e-11,1.9718255553025694e-11,5.279223409279937e-10,7.035946890993496e-11,0.0,0.0,8.67817546730948e-11,2.575872741981901e-11,1.3740444489906681e-10,3.030954205587334e-11,0.0,0.0
1438.9249553163088,3.867467978962948e-10,4.711292851178863e-11,0.0,0.0,5.0133844171741883e-11,2.0998107246781133e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5809888694101343e-11,1.5687804707457943e-11,5.801201968444423e-10,5.90898785928976e-11,0.0,0.0,9.31057106046635e-11,2.4207317810768808e-11,1.2891559929876487e-10,3.1176817913578406e-11,0.0,0.0
1452.9556525103576,5.745181739581861e-10,7.387254758599806e-11,0.0,0.0,6.383535266202063e-11,2.0400607776401413e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.802098658691408e-11,2.2304500465617853e-11,4.964971873712718e-10,6.335993177158568e-11,7.092816962446737e-12,7.092816962446737e-12,5.674253569957389e-11,2.1809167080357214e-11,1.134850713991478e-10,2.8010754248338446e-11,0.0,0.0
1467.1231604970922,5.057513314633518e-10,5.997015941864664e-11,0.0,0.0,3.512162024051052e-11,1.5386284052689323e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.619459238481684e-11,1.915251663525302e-11,4.776540352709435e-10,5.3653805841827315e-11,0.0,0.0,8.429188857722526e-11,2.5019680573889806e-11,1.3346215691394002e-10,2.943992722231146e-11,0.0,0.0
1481.4288132938264,3.8260709005599904e-10,4.677020211234797e-11,0.0,0.0,8.347791055767246e-11,2.4778074051754287e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.565194037178164e-11,1.8967567314228707e-11,4.1043306024188993e-10,5.1467408648653e-11,0.0,0.0,9.043440310414517e-11,2.3512782650515182e-11,1.18260373290036e-10,2.8062121267408794e-11,0.0,0.0
1495.8739579256364,5.029200731479012e-10,5.6127312304586794e-11,0.0,0.0,6.20038446346727e-11,1.981529140628468e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.267179284623028e-11,2.453880064139808e-11,5.373666535004973e-10,6.314162475925976e-11,0.0,0.0,6.88931607051919e-11,2.2964386901730643e-11,6.200384463467272e-11,2.210271402549414e-11,0.0,0.0
1510.459954552198,4.775951806417704e-10,5.777945921662263e-11,0.0,0.0,3.411394147441214e-11,1.4944834266976705e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.411394147441214e-11,1.4944834266976705e-11,6.618104646035958e-10,7.221537171875088e-11,0.0,0.0,5.4582306359059426e-11,1.8603009402997555e-11,1.2963297760276618e-10,3.0194872697807874e-11,0.0,0.0
1525.1881765958562,5.675798482440555e-10,6.277123944163873e-11,0.0,0.0,4.054141773171822e-11,1.6127596017353576e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0541417731718225e-11,1.8770539857061654e-11,6.621764896180646e-10,6.58266248974135e-11,0.0,0.0,5.4055223642290954e-11,2.0776290474971705e-11,1.2838115615044107e-10,3.421853677338422e-11,0.0,0.0
1540.0600108709493,5.48715615531359e-10,6.26434462194574e-11,0.0,0.0,8.029984617532077e-11,2.1854849950390585e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6841576935603785e-11,1.961917088848651e-11,5.353323078354721e-10,6.520483447672231e-11,0.0,0.0,5.3533230783547176e-11,1.824545831918429e-11,1.1375811541503778e-10,2.6993776030957626e-11,0.0,0.0
1555.0768577143929,4.30757263883459e-10,5.359466271608204e-11,0.0,0.0,9.277848760566803e-11,2.6674963739837237e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3254069657952575e-11,9.324588848625448e-12,4.705194728573167e-10,5.098159337761612e-11,0.0,0.0,8.615145277669174e-11,2.2399223245070844e-11,8.615145277669174e-11,2.4299127706246393e-11,0.0,0.0
1570.2401311175345,4.2659758789933696e-10,5.1411536403141634e-11,0.0,0.0,3.937823888301569e-11,1.5664877158039285e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.937823888301569e-11,1.5664877158039285e-11,5.250431851068763e-10,5.4392860388809044e-11,0.0,0.0,7.219343795219542e-11,2.063853125755488e-11,1.31260796276719e-10,2.9498670265526524e-11,0.0,0.0
