energy_mid_eV,"U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,elastic)","U (n,elastic) err","U (n,n')","U (n,n') err"
2.872819138187981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.920959279025981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.969906109407745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0196731471171585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0702741364570705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.121723052045101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.174034102673046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.227221735230963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.281300638697007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3362857481941286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3921922491147467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4490355813145444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5068314433765337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.565595796946579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6253448711415714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.686095167031467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7478634621964355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.81066681536037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8745225711020446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9394483646452145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.005462126728987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0725820885598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.140826786846391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.210215068919129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.280766097935134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.352499358170624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.425434660401936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.499592147376729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.574992299376865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
