energy low [eV],energy high [eV],energy mid [eV],cell,mean,std. dev.
20.672584045593553,21.153755457251155,20.913169751422352,32,0.08599337652902256,4.1556575874885884e-05
21.153755457251155,21.64612652962296,21.399940993437056,32,0.013569579405942585,8.346207492853519e-06
21.64612652962296,22.149957944031836,21.8980422368274,32,0.002114417300308136,9.90361862361271e-07
22.149957944031836,22.665516449373023,22.407737196702428,32,0.0009093595484469489,4.200945528190962e-07
22.665516449373023,23.1930750033419,22.92929572635746,32,0.0005093493710349118,1.6162733632481048e-07
23.1930750033419,23.7329129169489,23.4629939601454,32,0.00032763012624924465,1.626085928994126e-07
23.7329129169489,24.285316002398172,24.009114459673537,32,0.00024088052535088737,1.0185026988161256e-07
24.285316002398172,24.850576724408185,24.56794636340318,32,0.00017943656022138647,8.251183512764981e-08
24.850576724408185,25.4289943550545,25.139785539731342,32,0.00014170596962448232,6.185914358501002e-08
25.4289943550545,26.0208751322166,25.72493474363555,32,0.0001235387306797436,4.702782766232431e-08
26.0208751322166,26.626532421712714,26.323703776964656,32,0.00011164806744636474,5.152769190848427e-08
26.626532421712714,27.24628688320846,26.936409652460586,32,0.00011851769564216718,6.159549596563365e-08
27.24628688320846,27.88046663998714,27.5633767615978,32,0.00010212457055283013,4.3463544620547446e-08
27.88046663998714,28.5294074526716,28.20493704632937,32,0.00010162679947435268,3.056341404966148e-08
28.5294074526716,29.193452896989577,28.861430174830588,32,0.00010644646039744561,5.076327621598377e-08
29.193452896989577,29.87295454567671,29.533203721333145,32,0.0001150179484412883,4.6943837031748023e-08
29.87295454567671,30.568272154613485,30.220613350145097,32,0.00012517136376686007,3.6756756057481586e-08
30.568272154613485,31.279773853294657,30.92402300395407,32,0.0001475344921943766,6.107508837422486e-08
31.279773853294657,32.007836339732094,31.643805096513375,32,0.00018203526767259762,1.0565393371882016e-07
32.007836339732094,32.75284507989378,32.38034070981294,32,0.00024067560777991652,1.0833249534616363e-07
32.75284507989378,33.51519451178565,33.13401979583972,32,0.00034496343920564163,1.4061356308568778e-07
33.51519451178565,34.29528825428285,33.90524138303425,32,0.0005544672753753789,2.269957445514569e-07
34.29528825428285,35.09353932082212,34.694413787552485,32,0.001089379658801723,3.3251566781223754e-07
35.09353932082212,35.91037033806792,35.50195482944502,32,0.003935898083496421,1.58466651489353e-06
35.91037033806792,36.74621376966826,36.32829205386809,32,0.058345608149304604,2.3564667600610603e-05
36.74621376966826,37.601512145218564,37.17386295744341,32,0.03287409176704847,1.5661913272126663e-05
37.601512145218564,38.47671829455488,38.039115219886725,32,0.0026244904744972025,1.2719907970081716e-06
38.47671829455488,39.37229558750047,38.92450694102767,32,0.0008887395810519685,3.511210348185113e-07
39.37229558750047,40.28871817919268,39.83050688334657,32,0.0004425153185567703,1.8846562023759712e-07
40.28871817919268,41.22647126112002,40.75759472015635,32,0.00026400168653002086,1.1036807936464453e-07
41.22647126112002,42.18605131800231,41.70626128956117,32,0.00017479894570832295,9.014140748622978e-08
42.18605131800231,43.167966390649944,42.67700885432613,32,0.0001283428330092072,4.735475107799145e-08
43.167966390649944,44.17273634494138,43.67035136779566,32,0.00010825142639766389,4.165736901398274e-08
44.17273634494138,45.20089314706138,44.686814746001374,32,0.00010399698972823975,3.893428827304039e-08
45.20089314706138,46.25298114514558,45.72693714610348,32,8.430240995311344e-05,2.897014518056949e-08
46.25298114514558,47.32955735748058,46.79126925131308,32,5.7521325845675244e-05,2.2871013124230422e-08
47.32955735748058,48.43119176741216,47.88037456244637,32,4.289490407493843e-05,1.685085891771244e-08
48.43119176741216,49.558467625117665,48.994829696264915,32,4.680658851952356e-05,2.008288934823634e-08
49.558467625117665,50.711981756402494,50.13522469076008,32,5.315700832413778e-05,2.51022897260226e-08
50.711981756402494,51.89234487868406,51.302163317543275,32,3.219630749204015e-05,1.2891946687513131e-08
51.89234487868406,53.100181924330116,52.496263401507086,32,3.1158202132209715e-05,1.1841393311596804e-08
53.100181924330116,54.33613237152404,53.71815714792707,32,3.0699294580443845e-05,1.0433859204947161e-08
54.33613237152404,55.600850582830255,54.968491477177146,32,3.1643672838101744e-05,1.3370283404233907e-08
55.600850582830255,56.89500615164055,56.2479283672354,32,3.452357682243841e-05,1.2754772734965905e-08
56.89500615164055,58.21928425668413,57.55714520416234,32,4.647031351544166e-05,1.6363719275355105e-08
58.21928425668413,59.57438602478917,58.896835140736655,32,5.3265437364415205e-05,2.3890470897202803e-08
59.57438602478917,60.961028902087946,60.267707463438555,32,6.909992841478267e-05,2.006261351130111e-08
60.961028902087946,62.37994703386209,61.67048796797502,32,0.00011209962830430416,4.6537658641762155e-08
62.37994703386209,63.831891653229,63.105919343545544,32,0.0003844935253021826,1.5104597179879076e-07
63.831891653229,65.31763147887533,64.57476156605216,32,0.0017232640442928818,6.48910128380617e-07
65.31763147887533,66.83795312204798,66.07779230046165,32,0.04595284543877042,1.5495114908072556e-05
66.83795312204798,68.39366150301815,67.61580731253306,32,0.0010931181227377051,3.6858171565030146e-07
68.39366150301815,69.98558027723904,69.1896208901286,32,0.00020917765805191678,9.04620741315494e-08
69.98558027723904,71.61455227142248,70.80006627433076,32,9.344452735323281e-05,3.3924028346509845e-08
71.61455227142248,73.28143992976592,72.4479961005942,32,7.584825474618874e-05,2.89984381648231e-08
73.28143992976592,74.98712577056546,74.13428285016569,32,4.0525576562766045e-05,1.520554978825549e-08
74.98712577056546,76.73251285345701,75.85981931201124,32,3.4308500511868866e-05,1.194036016358233e-08
76.73251285345701,78.51852525753297,77.62551905549499,32,3.800610134255627e-05,1.550297544063251e-08
78.51852525753297,80.3461085705873,79.43231691406014,32,0.0008126168854016579,7.863855952171127e-07
80.3461085705873,82.21623038974832,81.28116948016782,32,0.01261159248135362,6.247989847518128e-06
82.21623038974832,84.129880833764,83.17305561175615,32,0.0001396073862114692,6.369514449745957e-08
84.129880833764,86.0880730672115,85.10897695048774,32,3.339474747307415e-05,1.2225557645679763e-08
86.0880730672115,88.09184383690695,87.08995845205922,32,2.9568637828389337e-05,1.0384220490373576e-08
88.09184383690695,90.14225402080268,89.11704892885481,32,0.000833710215938241,3.524965165674305e-07
90.14225402080268,92.2403891896585,91.1913216052306,32,4.174147341898693e-05,1.320441004246229e-08
92.2403891896585,94.38736018178733,93.31387468572291,32,9.990629081062333e-05,4.2310708248352224e-08
94.38736018178733,96.58430369117825,95.48583193648278,32,8.63859629087046e-05,3.4203597316997634e-08
96.58430369117825,98.8323828693087,97.70834328024347,32,0.0002049215428778308,7.272169959436482e-08
98.8323828693087,101.13278794096429,99.98258540513649,32,0.0008938727715057871,2.91159085041599e-07
101.13278794096429,103.4867368343923,102.30976238767829,32,0.027076018799769508,1.4470110874502039e-05
103.4867368343923,105.89547582612262,104.69110633025747,32,0.0013603912467922213,6.783866973467723e-07
105.89547582612262,108.36028020079729,107.12787801345996,32,0.00021165912377380897,9.283592624380089e-08
108.36028020079729,110.88245492635825,109.62136756357776,32,0.00010737949371567074,4.057936193264009e-08
110.88245492635825,113.46333534495055,112.1728951356544,32,0.00013216004519085446,4.460088144547918e-08
113.46333534495055,116.10428787990696,114.78381161242876,32,0.0007521887121770121,3.920176111814513e-07
116.10428787990696,118.80671075918815,117.45549931954756,32,0.02402773720946838,1.1335515682722116e-05
118.80671075918815,121.57203475566165,120.1893727574249,32,0.00017229991803734655,7.358505687957287e-08
121.57203475566165,124.40172394461126,122.98687935013646,32,4.534364818005318e-05,1.6768434579657337e-08
124.40172394461126,127.29727647887836,125.84950021174481,32,0.00010096961140444583,4.196252083002708e-08
127.29727647887836,130.26022538204492,128.77875093046163,32,1.6458487421556374e-05,6.159129713351003e-09
130.26022538204492,133.2921393600788,131.77618237106185,32,2.588658008785511e-05,1.3687967146228965e-08
133.2921393600788,136.39462363187076,134.84338149597477,32,3.3249048725368026e-05,1.6826643280802087e-08
136.39462363187076,139.56932077910278,137.98197220548678,32,1.0511456115070682e-05,3.470396928023127e-09
139.56932077910278,142.817911615897,141.1936161974999,32,1.0153763739328537e-05,4.35566013232973e-09
142.817911615897,146.14211607870868,144.48001384730284,32,0.00250215034311109,1.2867507974553677e-06
146.14211607870868,149.5436941369297,147.8429051078192,32,0.00020241010496465845,2.6505719170345763e-07
149.5436941369297,153.0244467246884,151.28407043080904,32,0.00017244960557408654,9.86628923005172e-08
153.0244467246884,156.58621669433748,154.80533170951293,32,1.6770923000288105e-05,1.456195891467577e-08
156.58621669433748,160.23088979213523,158.40855324323636,32,5.592630676910208e-05,2.97374982913766e-08
160.23088979213523,163.96039565663642,162.0956427243858,32,2.902018780799724e-05,1.4976408290129562e-08
163.96039565663642,167.7767088403218,165.8685522484791,32,0.006289444973529963,3.5784026905543163e-06
167.7767088403218,171.6818498550065,169.72927934766415,32,2.330320047945172e-05,8.083113211462291e-09
171.6818498550065,175.6778862415815,173.679868048294,32,0.00014287625259157443,8.387863794055831e-08
175.6778862415815,179.76693366465406,177.7224099531178,32,3.982457865338005e-05,1.5512815530765448e-08
179.76693366465406,183.9511570326668,181.85904534866043,32,9.072230550182829e-05,3.425246343614525e-08
183.9511570326668,188.23277164408856,186.0919643383777,32,0.0009100969722123528,3.9413753398668963e-07
188.23277164408856,192.61404436028363,190.42340800218608,32,0.010029928263263878,3.7968274482849324e-06
192.61404436028363,197.0972948056808,194.85566958298222,32,0.00025271613234975404,9.721964282182144e-08
197.0972948056808,201.68489659587686,199.39109570077883,32,0.00016779286973479205,6.93477368556471e-08
201.68489659587686,206.3792785943257,204.0320875951013,32,0.00019078927979211,7.176491427887056e-08
206.3792785943257,211.18292619827758,208.78110239630166,32,0.011857721236423919,6.131139736527272e-06
211.18292619827758,216.0983826546497,213.64065442646364,32,0.00017237053348719008,7.49751283195128e-08
