filename,fertile_kg/m3,fertile_mt,energy mid [eV],mean
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002259651079732,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002312246318793,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000236606575534,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002421137883578,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002477491860938,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002535157523511,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002594165401852,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002654546737138,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000271633349771,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002779558395998,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002844254905841,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002910457280209,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0002978200569341,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0003047520639294,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000311845419094,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0003191038779395,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0003265312833898,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0003341315678164,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0003419087551197,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0003498669628598,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0003580104044364,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0003663433913194,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000374870335332,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000383595750986,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0003925242578723,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0004016605831064,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0004110095638315,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0004205761497792,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0004303654058903,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0004403825149959,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0004506327805623,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0004611216294979,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000471854615027,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0004828374196299,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0004940758580511,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0005055758803783,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0005173435751921,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0005293851727901,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.000541707048485,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0005543157259802,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0005672178808239,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0005804203439427,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0005939301052591,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0006077543173917,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0006219002994419,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0006363755408695,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0006511877054576,0.0
tallies_ARC_900K_Li07.5_U000.00kgm3,0.0,0.0,0.0006663446353701,0.0
