filename,src-n,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","U235(n,inel)","U235(n,inel)_sd","U238(n,inel)","U238(n,inel)_sd","Th232(n,inel)","Th232(n,inel)_sd","U235(n,el)","U235(n,el)_sd","U238(n,el)","U238(n,el)_sd","Th232(n,el)","Th232(n,el)_sd","Li6(n,el)","Li6(n,el)_sd","Li7(n,el)","Li7(n,el)_sd","Be9(n,el)","Be9(n,el)_sd","Pb(n,el)","Pb(n,el)_sd","tot(n,fis)","tot(n,fis)_sd","tot(n,nufis)","tot(n,nufis)_sd",tbr,tbr_sd,Pu239_kg/yr,Pu239_kg/yr_sd,U233_kg/yr,U233_kg/yr_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_FLiBe_900K_Li07.5_Th232_0150.00kgm3_4e4x25,1000000,150.0,115.995,0.9866412739294828,0.0012826279482556,0.0962292454878707,0.0001103155244327,0.1017037115343859,0.0001194226120582,0.0,0.0,0.0,0.0,0.1223092939515136,0.0002558084425574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.913796311768415,0.0008127271333933,0.3024071766215042,0.0002033858870446,4.475022763582778,0.0028515048933475,10.414895865096268,0.0077126150638557,0.0,0.0,0.0022187704305295,2.500358174394741e-06,0.0073853330815492,8.266987081304296e-06,1.0828705194173536,0.0013929434726884,0.0,0.0,529.3827103594147,1.1071976812126856,0.00089,2.236067977499736e-05,661.1812724155639,0.4486314064200782,22.699355689377857,0.0256379719148777
tallies_FLiBe_900K_Li07.5_Th232_0250.00kgm3_4e5x25,10000000,250.0,193.325,0.9414523823697416,0.0004118348585715,0.0933553854815434,4.486283044353352e-05,0.0986851943040204,4.413584569878306e-05,0.0,0.0,0.0,0.0,0.1785781182214306,9.856747367118706e-05,0.0,0.0,0.0,0.0,0.063400304991302,0.0006060144840723,0.0,0.0,0.0,0.0,1.4861464523168555,0.0004230635803255,0.2959311901913654,7.753012453315119e-05,4.373270878449958,0.0011463509788245,10.17558567674064,0.0029100783148385,0.0,0.0,0.0036658473868029,1.5684299361395318e-06,0.012207395326403,5.283301258996413e-06,1.034807767851285,0.0004566976890151,0.0,0.0,772.9271029266292,0.4266226603026474,0.0009011,1.215445734425573e-05,676.709523954401,0.2003831864728221,37.501742162904165,0.0160421444270034
tallies_FLiBe_900K_Li07.5_Th232_0250.00kgm3_4e4x25,1000000,250.0,193.325,0.939761173482955,0.0013971697233349,0.0934447003782342,0.0001196435033449,0.0987238322919301,0.0001281039585597,0.0,0.0,0.0,0.0,0.1783019246525989,0.0003513164634012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4851931446537237,0.0014688174118179,0.2958437063802415,0.0002553836184942,4.371007524238596,0.0037099880211958,10.167367211804525,0.009166391033715,0.0,0.0,0.0036676654621419,4.461400132710211e-06,0.0122147045647917,1.4739608556899286e-05,1.0332058738611891,0.0015168132266798,0.0,0.0,771.7316737378226,1.5205783271297382,0.000867,3.0472665346722225e-05,676.3786911478793,0.6042670392600273,37.5198200588696,0.0457609500816093
tallies_FLiBe_900K_Li07.5_Th232_0500.00kgm3_4e5x25,10000000,500.0,386.65,0.851612225709318,0.0004015400990156,0.0866436933706219,3.9559129472663736e-05,0.0915437477351731,3.855841603862998e-05,0.0,0.0,0.0,0.0,0.2897002696119493,0.0001585329587003,0.0,0.0,0.0,0.0,0.1259412917359553,0.0011203834105063,0.0,0.0,0.0,0.0,2.8679626025553007,0.0007813351028937,0.2804885188182923,6.728045751027499e-05,4.131891130402182,0.0009976562718461,9.61193914438282,0.002488593288446,0.0,0.0,0.0071928386012645,3.1397910625111763e-06,0.0239792813768424,1.0450947283867751e-05,0.93825591907994,0.0004410992284883,0.0,0.0,1253.88929135527,0.6861670495076213,0.0007967,1.2018839378243007e-05,714.2030746208277,0.2352901643163161,73.57246307383166,0.0321547495552066
tallies_FLiBe_900K_Li07.5_Th232_0500.00kgm3_4e4x25,1000000,500.0,386.65,0.8499103905915766,0.0010932055205185,0.0867040192751597,0.0001353650390383,0.0916266291268401,0.0001432711047879,0.0,0.0,0.0,0.0,0.2893110958314681,0.0004473344424289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8658327450756107,0.002701344220686,0.2804551482052039,0.0002261265098697,4.130867160887433,0.0034626420540477,9.606136792603412,0.0087956465640514,0.0,0.0,0.0071973855438186,1.045031095112974e-05,0.0239951760041955,3.4076040618621385e-05,0.9366144098667364,0.0012285705595569,0.0,0.0,1252.2048578665638,1.9361661891699893,0.000773,2.1258331699987144e-05,713.8706245872221,0.6853699188966729,73.61865971900035,0.1073315637614154
tallies_FLiBe_900K_Li07.5_Th232_0750.00kgm3_4e5x25,10000000,750.0,579.975,0.7793652029919585,0.000262673462006,0.0802307291399597,4.160903177433849e-05,0.0847154834349701,4.037911300609847e-05,0.0,0.0,0.0,0.0,0.3814838772836534,0.0001911412831482,0.0,0.0,0.0,0.0,0.1877105045871614,0.0013393997420921,0.0,0.0,0.0,0.0,4.220133009947118,0.0009373048271437,0.2655340431099098,5.145442462983428e-05,3.900819939744737,0.0007433433881428,9.079186263896748,0.0018918324813587,0.0,0.0,0.0105916586380907,4.734295118415873e-06,0.0353483669358534,1.5683526464730933e-05,0.8595959321319182,0.0003042824937804,0.0,0.0,1651.1498218189126,0.8273033656355514,0.0007323,1.1297049762364052e-05,750.4390696243723,0.2113180403375613,108.32258363027168,0.048529894719859
tallies_FLiBe_900K_Li07.5_Th232_0750.00kgm3_4e4x25,1000000,750.0,579.975,0.7790130281105629,0.0011974484379894,0.0803386514819104,0.0001373562018224,0.0848362747006321,0.0001421887010673,0.0,0.0,0.0,0.0,0.3816588639052957,0.0005550566019435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.217961708911925,0.0039161261170426,0.2654644064821949,0.0002236229590499,3.89961934757382,0.0032168704449473,9.07389908884806,0.0083429725954075,0.0,0.0,0.0106014859700738,1.635774922252298e-05,0.0353855798598159,5.438321606107545e-05,0.8593516795924734,0.0013348046398119,0.0,0.0,1651.9072040999222,2.402412432012353,0.000753,3.2252906845740064e-05,750.7657627695767,0.7558973861308548,108.42127624009046,0.1675160428835905
tallies_FLiBe_900K_Li07.5_Th232_1000.00kgm3_4e4x25,1000000,1000.0,773.3,0.7170722466329247,0.0007967890904602,0.0741453278701224,0.0001407737701494,0.0782938981709723,0.0001435647711815,0.0,0.0,0.0,0.0,0.463705006784582,0.0004792432926659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.565623146073573,0.0040203677625889,0.2508646085200604,0.0001933169259241,3.6768669210145175,0.0028438131674816,8.565135031040402,0.0063326361446724,0.0,0.0,0.0138877892948442,2.308426732630124e-05,0.0463972815999778,7.65249581963052e-05,0.7912175745030472,0.0009375628606096,0.0,0.0,2007.0217509077104,2.0742750202910667,0.00067,3.0686587732536546e-05,786.4535761547264,0.7798212068611428,142.01371637624146,0.236517098187492
tallies_FLiBe_900K_Li07.5_Th232_1000.00kgm3_4e5x25,10000000,1000.0,773.3,0.7162881596353513,0.0002975941502712,0.0740354485794097,3.49917161252467e-05,0.078133924004635,3.339221515183685e-05,0.0,0.0,0.0,0.0,0.4632878236043307,0.0001996401003874,0.0,0.0,0.0,0.0,0.2488490682648727,0.0019280266233885,0.0,0.0,0.0,0.0,5.563874701034303,0.0013413582084415,0.2507805569034294,5.939024448701421e-05,3.675350181293405,0.00083702732935,8.562744851563375,0.0021144467500214,0.0,0.0,0.0138681923483758,5.786826130790233e-06,0.0463318255723681,1.9431453023311505e-05,0.7903236082147611,0.0003325858663965,0.0,0.0,2005.2160863049423,0.8640881982477118,0.0006459,1.113260975692551e-05,785.4841255567158,0.2356358403203401,141.81328977312342,0.0592129277678056
tallies_FLiBe_900K_Li07.5_Th232_2000.00kgm3_4e5x25,10000000,2000.0,1546.6,0.5034334412924771,0.0002882540202079,0.0514173917640374,2.0331258494314182e-05,0.0541918737668909,2.3035221899707585e-05,0.0,0.0,0.0,0.0,0.7433568665070438,0.0003863416011477,0.0,0.0,0.0,0.0,0.488846099929527,0.0049146664678864,0.0,0.0,0.0,0.0,10.942539495538572,0.0034166608593166,0.1913151882651413,5.652112672686366e-05,2.7794364014216386,0.0008203337722177,6.499630884903162,0.002048489791323,0.0,0.0,0.0258719337874421,9.56244538994414e-06,0.0867551443345674,3.247407532222143e-05,0.5548508330565146,0.0003085852787022,0.0,0.0,3217.4192168240406,1.6721751661919342,0.0004636,6.276742785872258e-06,914.2402738269072,0.2845513053108731,264.43628577166265,0.0977004960927107
