filename,br_vol_m3,fertile_kg/m3,fertile_mt,energy mid [eV],mean
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0014238309941395,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0014569718326482,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0014908840514552,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.001525585605072,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0015610948659161,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0015974306340382,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0016346121470754,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0016726590904371,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0017115916077263,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0017514303114052,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0017921962937082,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0018339111378084,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0018765969292454,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0019202762676177,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0019649722785482,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0020107086259275,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0020575095244429,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0021053997523985,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0021544046648338,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0022045502069476,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0022558629278347,0.0
